date_time_utc,location_type,location_code,location_name,wind_direction,wind_speed_kts,temperature_celsius,cloud_cover_percentage,relative_humidity_percentage,icon,precipitation_chance_percentage,pressure_hpa
2019/12/2 11:00,TWCID,9028,Canberra,WNW,12.2,9.6,18,39,Mostly clear,5,1004.1
2019/12/2 12:00,TWCID,9028,Canberra,WNW,10.7,9.4,18,42,Mostly clear,5,1004.5
2019/12/2 13:00,TWCID,9028,Canberra,WNW,11.4,8.9,18,44,Mostly clear,5,1004.8
2019/12/2 14:00,TWCID,9028,Canberra,WNW,10.1,8.2,34,44,Mostly clear,5,1004.6
2019/12/2 15:00,TWCID,9028,Canberra,WNW,10.7,7.5,29,47,Mostly clear,5,1004.6
2019/12/2 16:00,TWCID,9028,Canberra,WNW,10.3,7.4,4,50,Clear,5,1004.6
2019/12/2 17:00,TWCID,9028,Canberra,WNW,10.6,7.1,10,53,Clear,5,1004.4
2019/12/2 18:00,TWCID,9028,Canberra,WNW,10.4,6.8,8,57,Clear,5,1005
2019/12/2 19:00,TWCID,9028,Canberra,WNW,11.8,6.8,7,60,Clear,5,1005.6
2019/12/2 20:00,TWCID,9028,Canberra,WNW,12.2,8.5,28,56,Mostly clear,5,1005.7
2019/12/2 21:00,TWCID,9028,Canberra,WNW,14.6,10.4,36,49,Mostly clear,5,1006.7
2019/12/2 22:00,TWCID,9028,Canberra,WNW,15.3,12.3,39,45,Mostly clear,5,1006.8
2019/12/2 23:00,TWCID,9028,Canberra,WNW,15.4,13.8,21,43,Mostly clear,5,1006.9
2019/12/3 0:00,TWCID,9028,Canberra,WNW,17.4,15.5,14,39,Mostly clear,5,1007.1
2019/12/3 1:00,TWCID,9028,Canberra,WNW,18.9,17,9,35,Clear,5,1006.8
2019/12/3 2:00,TWCID,9028,Canberra,WNW,21.3,17.8,11,33,Mostly clear. Windy,5,1006.5
2019/12/3 3:00,TWCID,9028,Canberra,WNW,21.4,19,10,32,Mostly clear. Windy,5,1006
2019/12/3 4:00,TWCID,9028,Canberra,WNW,20.4,19.2,19,32,Mostly clear. Windy,5,1006
2019/12/3 5:00,TWCID,9028,Canberra,WNW,20.5,19.4,23,33,Mostly clear. Windy,5,1005.4
2019/12/3 6:00,TWCID,9028,Canberra,WNW,19.7,19,22,33,Mostly clear. Windy,5,1005.5
2019/12/3 7:00,TWCID,9028,Canberra,W,19.9,18.3,32,33,Mostly clear. Windy,5,1005.8
2019/12/3 8:00,TWCID,9028,Canberra,W,19.3,17.6,30,34,Mostly clear. Windy,5,1006.3
2019/12/3 9:00,TWCID,9028,Canberra,W,15.6,16,16,41,Mostly clear,5,1007
2019/12/3 10:00,TWCID,9028,Canberra,WNW,14.3,15.3,21,43,Mostly clear,5,1007.8
2019/12/3 11:00,TWCID,9028,Canberra,WNW,11.8,14.4,21,45,Mostly clear,5,1008
2019/12/3 12:00,TWCID,9028,Canberra,WNW,10.5,13.8,13,47,Mostly clear,5,1008.1
2019/12/3 13:00,TWCID,9028,Canberra,WNW,10.9,13.3,20,48,Mostly clear,5,1008
2019/12/3 14:00,TWCID,9028,Canberra,WNW,9.5,12.8,17,50,Mostly clear,5,1007.5
2019/12/3 15:00,TWCID,9028,Canberra,WNW,10.3,12.7,12,53,Mostly clear,5,1007.3
2019/12/3 16:00,TWCID,9028,Canberra,WNW,9.4,12,20,56,Mostly clear,5,1007.1
2019/12/3 17:00,TWCID,9028,Canberra,WNW,9.3,11,11,59,Mostly clear,5,1007.1
2019/12/3 18:00,TWCID,9028,Canberra,WNW,8.8,10.2,10,62,Clear,5,1007.4
2019/12/3 19:00,TWCID,9028,Canberra,WNW,10.7,9.8,16,64,Mostly clear,5,1007.5
2019/12/3 20:00,TWCID,9028,Canberra,WNW,10,11.3,10,58,Clear,5,1008.9
2019/12/3 21:00,TWCID,9028,Canberra,WNW,12.1,13.4,11,48,Mostly clear,5,1009.4
2019/12/3 22:00,TWCID,9028,Canberra,WNW,13.1,15.1,9,40,Clear,5,1009.8
2019/12/3 23:00,TWCID,9028,Canberra,WNW,13.6,16.4,11,35,Mostly clear,5,1009.8
2019/12/4 0:00,TWCID,9028,Canberra,WNW,16.1,18,5,31,Clear,5,1009.8
2019/12/4 1:00,TWCID,9028,Canberra,WNW,17.6,19.4,5,27,Clear,5,1009.6
2019/12/4 2:00,TWCID,9028,Canberra,WNW,19.9,20.2,6,25,Clear. Windy,5,1009.2
2019/12/4 3:00,TWCID,9028,Canberra,WNW,19.9,21.2,5,24,Clear. Windy,5,1008.8
2019/12/4 4:00,TWCID,9028,Canberra,WNW,18.9,21.1,6,24,Clear,5,1008.6
2019/12/4 5:00,TWCID,9028,Canberra,W,18.5,21.4,9,24,Clear,5,1007.9
2019/12/4 6:00,TWCID,9028,Canberra,W,17.7,21,0,24,Clear,5,1008.3
2019/12/4 7:00,TWCID,9028,Canberra,W,17.6,20.2,2,25,Clear,5,1008.5
